FeatureID	FeatureType	FeatureName	GenomeID	Genome	VersionName	ContigName	Strand	PartCount	PartNumber	Left End	Right End	
ABE-0000001	source		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	1	4641652	
ABE-0000006	CDS	thrL	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	190	255	
ABE-0000008	CDS	thrA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	337	2799	
ABE-0000010	CDS	thrB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	2801	3733	
ABE-0000012	CDS	thrC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	3734	5020	
ABE-0000015	CDS	yaaX	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	5234	5530	
ABE-0285320	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	5565	5669	
ABE-0000018	CDS	yaaA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	5683	6459	
ABE-0000020	CDS	yaaJ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	6529	7959	
ABE-0000027	CDS	talB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	8238	9191	
ABE-0000030	CDS	mog	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	9306	9893	
ABE-0000032	CDS	satP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	9928	10494	
ABE-0000037	CDS	yaaW	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	10643	11356	
ABE-0000043	CDS	yaaI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	11382	11786	
ABE-0000052	CDS	dnaK	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	12163	14079	
ABE-0000054	CDS	dnaJ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	14168	15298	
ABE-0000056	mobile_element		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	15387	16731	
ABE-0000058	CDS	insL-1	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	15445	16557	
ABE-0047278	CDS	hokC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	16751	16903	
ABE-0000064	CDS	mokC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	16751	16960	
ABE-0047238	ncRNA	sokC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	16952	17006	
ABE-0000068	CDS	nhaA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	17489	18655	
ABE-0000072	CDS	nhaR	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	18715	19620	
ABE-0285261	pseudogene		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	19658	19795	
ABE-0000073	mobile_element		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	19796	20563	
ABE-0000075	CDS	insB-1	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	19811	20314	
ABE-0000078	CDS	insA-1	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	20233	20508	
ABE-0000082	CDS	rpsT	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	20815	21078	
ABE-0000089	CDS	yaaY	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	21181	21399	
ABE-0000091	CDS	ribF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	21407	22348	
ABE-0000094	CDS	ileS	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	22391	25207	
ABE-0000096	CDS	lspA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	25207	25701	
ABE-0285321	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	25710	25795	
ABE-0000101	CDS	fkpB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	25826	26275	
ABE-0000103	CDS	ispH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	26277	27227	
ABE-0000109	CDS	rihC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	27293	28207	
ABE-0000112	CDS	dapB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	28374	29195	
ABE-0000118	CDS	carA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	29651	30799	
ABE-0000121	CDS	carB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	30817	34038	
ABE-0000125	CDS	caiF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	34300	34695	
ABE-0285322	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	34727	34762	
ABE-0000128	CDS	caiE	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	34781	35371	
ABE-0000130	CDS	caiD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	35377	36162	
ABE-0000133	CDS	caiC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	36271	37824	
ABE-0000136	CDS	caiB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	37898	39115	
ABE-0285323	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	39151	39232	
ABE-0000139	CDS	caiA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	39244	40386	
ABE-0000141	CDS	caiT	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	40417	41931	
ABE-0000145	CDS	fixA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	42403	43173	
ABE-0000147	CDS	fixB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	43188	44129	
ABE-0000149	CDS	fixC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	44180	45466	
ABE-0000151	CDS	fixX	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	45463	45750	
ABE-0000156	CDS	yaaU	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	45807	47138	
ABE-0000159	CDS	kefF	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	47246	47776	
ABE-0000161	CDS	kefC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	47769	49631	
ABE-0000164	CDS	folA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	49823	50302	
ABE-0285324	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	50327	50363	
ABE-0000167	CDS	apaH	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	50380	51222	
ABE-0000169	CDS	apaG	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	51229	51606	
ABE-0000175	CDS	rsmA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	51609	52430	
ABE-0000178	CDS	pdxA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	52427	53416	
ABE-0000180	CDS	surA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	53416	54702	
ABE-0000183	CDS	lptD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	54755	57109	
ABE-0000187	CDS	djlA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	57364	58179	
ABE-0000192	CDSp	yabP_1	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	58474	59124	
ABE-0285120	pseudogene	yabP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	58474	59269	
ABE-0000194	CDSp	yabP_2	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	59121	59279	
ABE-0000196	CDS	rluA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	59687	60346	
ABE-0000198	CDS	rapA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	60358	63264	
ABE-0000202	CDS	polB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	63429	65780	
ABE-0000209	CDS	araD	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	65855	66550	
ABE-0285325	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	66565	66812	
ABE-0000221	CDS	araA	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	66835	68337	
ABE-0000223	CDS	araB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	68348	70048	
ABE-0000236	CDS	araC	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	70387	71265	
ABE-0000241	CDS	yabI	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	71351	72115	
ABE-0285326	repeat_region		MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	forward	1	1	72136	72220	
ABE-0000244	CDS	thiQ	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	72229	72927	
ABE-0000246	CDS	thiP	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	72911	74521	
ABE-0000249	CDS	thiB	MG1655	Escherichia coli K-12 MG1655	v3	Chromosome	complement	1	1	74497	75480	
